국가,국가코드,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수,Countries and regions,Doses administered,Enough for % of people,given 1+ dose,fully vaccinated,Daily rate of doses administered
신트마르턴,🇸🇽,4213,166,10,63,3984,1.5,94.6,98260,42876,Sint Maarten,49159,58.5,61.1,55.9,40
뉴질랜드,🇳🇿,4183,225,5,27,3931,0.6,94,870,4822233,New Zealand,4917531,49.9,64.8,35,53804
코모로,🇰🇲,4112,12,,147,3953,3.6,96.1,4729,869601,Comoros,336863,19.3,20,18.5,249
상투메 프린시페,🇸🇹,3338,614,,49,2675,1.5,80.1,15258,219159,Sao Tome and Principe,73223,17.2,25.8,8.5,2171
모나코,🇲🇨,3303,29,6,33,3241,1,98.1,84170,39242,Monaco,49980,64.1,68.4,59.8,120
세인트빈센트 그레나딘,🇻🇨,3247,860,2,17,2370,0.5,73,30088,110940,St. Vincent and the Grenadines,33077,15,18.2,11.9,104
도미니카 연방,🇩🇲,3197,545,,13,2639,0.4,82.5,45745,71986,Dominica,44624,31.4,33.3,29.6,82
앤티가 바부다,🇦🇬,2923,977,9,64,1882,2.2,64.4,29848,97929,Antigua and Barbuda,81915,42.2,46.5,38,572
터크스 케이커스 제도,🇹🇨,2830,60,1,22,2748,0.8,97.1,73198,38717,Turks & Caicos,52374,68.9,72.2,65.6,77
부탄,🇧🇹,2599,3,,3,2593,0.1,99.8,3368,771608,Bhutan,1068414,71.7,77.1,66.3,3185
세인트키츠 네비스,🇰🇳,1835,855,1,10,970,0.5,52.9,34493,53199,Saint Kitts and Nevis,47098,41.3,44.2,38.5,31
페로 제도,🇫🇴,1122,72,1,2,1048,0.2,93.4,23064,48863,Faroe Islands,73872,75.4,77.3,73.4,122
케이맨 제도,🇰🇾,795,46,,2,747,0.3,94,12096,65722,Cayman Islands,109789,84.5,84.4,84.4,715
그린란드,🇬🇱,553,155,2,0,398,-,72,9952,56770,Greenland,102357,89.8,124.5,64.3,300
앵귈라,🇦🇮,364,18,,1,345,0.3,94.8,24262,15003,Anguilla,18584,61.9,63.3,60.6,2
포클랜드 제도,🇫🇰,67,4,,0,63,-,94,19253,3480,Falkland Islands,4407,73.5,87.7,59.2,202
마카오,🇲🇴,66,3,,0,63,-,95.5,103,649335,Macau,649564,47.8,51.2,44.6,4123
몬트세랫,🇲🇸,33,2,,1,30,3,90.9,6611,4992,Montserrat,2856,28.6,29.4,27.7,2
솔로몬 제도,🇸🇧,20,0,,0,20,-,100,29,686884,Solomon Islands,97744,7.6,11.6,3.6,2902
사모아,🇼🇸,3,0,,0,3,-,100,15,198414,Samoa,149431,37.2,49.3,25,981
세인트헬레나,🇸🇭,2,0,,0,2,-,100,329,6077,St. Helena,7892,65.8,72.7,58.9,8
미크로네시아,🇫🇲,1,0,,0,1,-,100,9,115023,Micronesia,71686,34.5,41.6,,294
